"Langue";"Unité";"Thème";"Mot / expression (à valider)";"Français";"Type";"Emprunt";"Mot amazigh classique";"Origine (dictionnaire)";"Fichier audio à enregistrer";"Leçons";"Correction proposée";"OK ?"
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Afllaḥ";"Le paysan";"mot";"arabe";"";"arabe";"tzm/afllah.mp3";"tzm11";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Afus";"La main";"mot";"";"";"amazigh";"tzm/afus.mp3";"tzm16";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Aɣrum";"Le pain";"mot";"";"";"amazigh";"tzm/aghrum.mp3";"tzm7";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Aɣyul";"L’âne";"mot";"";"";"amazigh";"tzm/aghyul.mp3";"tzm12 tzm13";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Aman";"L’eau";"mot";"";"";"amazigh";"tzm/aman.mp3";"tzm7";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Amksa";"Le berger";"mot";"";"";"amazigh";"tzm/amksa.mp3";"tzm11 tzm13";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Askka";"Demain";"mot";"";"";"amazigh";"tzm/askka.mp3";"tzm5";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Axddam";"Le travailleur";"mot";"arabe";"";"arabe";"tzm/axddam.mp3";"tzm10 tzm13";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Azzl !";"Cours !";"expression";"";"";"amazigh";"tzm/azzl.mp3";"tzm15";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Bba";"Mon père";"mot";"";"";"amazigh";"tzm/bba.mp3";"tzm6";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Bbaḥllu";"Grand-père";"mot";"";"";"amazigh";"tzm/bbahllu.mp3";"tzm6";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Bla jmil";"De rien";"expression";"arabe";"";"arabe";"tzm/bla-jmil.mp3";"tzm3";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Cukran";"Merci";"mot";"arabe";"Tanmmirt";"arabe";"tzm/cukran.mp3";"tzm3";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Ɛafak";"S’il te plaît";"mot";"arabe";"";"arabe";"tzm/eafak.mp3";"tzm3 tzm4";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Ɛlikum ssalam";"Et sur vous la paix (réponse)";"expression";"arabe";"Azul";"arabe";"tzm/elikum-ssalam.mp3";"tzm1";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Igr";"Le champ";"mot";"";"";"amazigh";"tzm/igr.mp3";"tzm11 tzm13";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Is thnna ɣur-k ?";"Tout est tranquille chez toi ?";"expression";"";"";"amazigh";"tzm/is-thnna-ghur-k.mp3";"tzm4";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Ixf";"La tête";"mot";"";"";"amazigh";"tzm/ixf.mp3";"tzm16 tzm17";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Kkuẓ";"Quatre";"mot";"";"";"amazigh";"tzm/kkuz.mp3";"tzm8";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Kraḍ";"Trois";"mot";"";"";"amazigh";"tzm/krad.mp3";"tzm8";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Labas";"Ça va";"mot";"arabe";"";"arabe";"tzm/labas.mp3";"tzm4";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Labas, l-ḥamdullah";"Ça va, Dieu merci";"expression";"à trancher";"";"arabe";"tzm/labas-l-hamdullah.mp3";"tzm4";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Lla yɛawn";"Que Dieu t’aide";"expression";"à trancher";"";"arabe";"tzm/lla-yeawn.mp3";"tzm1";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Lxdmt";"Le travail (mot arabe)";"mot";"arabe";"Tawuri";"arabe";"tzm/lxdmt.mp3";"tzm10";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Mayd tɛnit ?";"Comment vas-tu ?";"expression";"à trancher";"";"amazigh";"tzm/mayd-tenit.mp3";"tzm4";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Mma";"Ma mère";"mot";"";"";"amazigh";"tzm/mma.mp3";"tzm6";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Mmaḥllu";"Grand-mère";"mot";"";"";"amazigh";"tzm/mmahllu.mp3";"tzm6";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Mrḥba";"Bienvenue";"mot";"arabe";"Ansuf";"arabe";"tzm/mrhba.mp3";"tzm5";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Qqim g lman";"Au revoir (reste dans la paix)";"expression";"à trancher";"";"amazigh";"tzm/qqim-g-lman.mp3";"tzm5";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Sin";"Deux";"mot";"";"";"amazigh";"tzm/sin.mp3";"tzm8";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Smmus";"Cinq";"mot";"";"";"amazigh";"tzm/smmus.mp3";"tzm8";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Ssalamu ɛlikum";"Bonjour (la paix sur vous)";"expression";"arabe";"Azul";"arabe";"tzm/ssalamu-elikum.mp3";"tzm1";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Taddart";"La maison";"mot";"";"";"amazigh";"tzm/taddart.mp3";"tzm7";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Tafunast";"La vache";"mot";"";"";"amazigh";"tzm/tafunast.mp3";"tzm12 tzm13";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Takurt";"Le ballon";"mot";"";"";"amazigh";"tzm/takurt.mp3";"tzm14 tzm17";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Tawuri";"Le travail";"mot";"";"";"amazigh";"tzm/tawuri.mp3";"tzm10 tzm13 tzm17";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Tazzla";"La course";"mot";"";"";"amazigh";"tzm/tazzla.mp3";"tzm15 tzm17";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Uhu";"Non";"mot";"";"";"amazigh";"tzm/uhu.mp3";"tzm2";"";""
"Tamazight (Atlas)";"Unité 3";"Au travail — Tawuri";"Ulli";"Les brebis";"mot";"";"";"amazigh";"tzm/ulli.mp3";"tzm12 tzm13";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Urar";"Le jeu";"mot";"";"";"amazigh";"tzm/urar.mp3";"tzm14 tzm15 tzm17";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Waxxa";"D’accord";"mot";"arabe";"";"arabe";"tzm/waxxa.mp3";"tzm2";"";""
"Tamazight (Atlas)";"Unité 1";"Les salutations du Moyen Atlas";"Yah";"Oui";"mot";"à trancher";"";"amazigh";"tzm/yah.mp3";"tzm2";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Yan";"Un";"mot";"";"";"amazigh";"tzm/yan.mp3";"tzm8 tzm9";"";""
"Tamazight (Atlas)";"Unité 2";"Les premiers mots";"Yat";"Une";"mot";"";"";"amazigh";"tzm/yat.mp3";"tzm8";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"kraḍ";"Trois";"mot";"";"";"amazigh";"zgh/krad.mp3";"zgh10";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⴰ";"a";"lettre";"";"";"";"";"zgh1 zgh2";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⴰⴷⴷⴰⵍ";"Le sport";"mot";"";"";"neo";"";"zgh16 zgh19";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⴰⴷⵍⵉⵙ";"Le livre";"mot";"";"";"neo";"";"zgh13";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⴰⴹⴰⵔ";"Le pied";"mot";"";"";"amazigh";"";"zgh18 zgh19";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⴰⴼⵍⵍⴰⵃ";"Le paysan";"mot";"arabe";"";"arabe";"";"zgh14 zgh15";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⴰⴼⵓⵙ";"La main";"mot";"";"";"amazigh";"";"zgh18";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⴰⵎⴰⵏ";"aman — l’eau / L’eau";"mot";"";"";"amazigh";"";"zgh2 zgh9";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⴰⵎⴽⵙⴰ";"Le berger";"mot";"";"";"amazigh";"";"zgh14";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⴰⵏⵍⵎⴰⴷ";"L’élève";"mot";"";"";"neo";"";"zgh13";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⴰⵔⴳⴰⵣ";"argaz — l’homme";"mot";"";"";"amazigh";"";"zgh3";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⴰⵖⵔⵓⵎ";"Le pain";"mot";"";"";"amazigh";"";"zgh9";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⴰⵙⵍⵎⴰⴷ";"L’enseignant";"mot";"";"";"neo";"";"zgh12 zgh15";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⴰⵣⵓⵍ";"azul — salut / Salut, bonjour / Salut";"mot";"";"";"amazigh";"";"zgh4 zgh7 zgh8";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⴰⵣⵣⵍ";"Cours !";"mot";"";"";"amazigh";"";"zgh17";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⴳ";"g";"lettre";"";"";"";"";"zgh3";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⴹ";"ḍ";"lettre";"";"";"";"";"zgh6";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⴽⵔⴰⴹ";"Trois";"mot";"";"";"amazigh";"";"zgh10";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵃ";"ḥ";"lettre";"";"";"";"";"zgh5";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵄ";"ɛ";"lettre";"";"";"";"";"zgh5";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵅ";"La « jota » espagnole / x";"lettre";"";"";"";"";"zgh5";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⵉⵅⴼ";"La tête";"mot";"";"";"amazigh";"";"zgh18 zgh19";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵍ";"l";"lettre";"";"";"";"";"zgh4";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⵍⵅⴷⵎⵜ";"lxdmt — le travail (mot arabe)";"mot";"arabe";"ⵜⴰⵡⵓⵔⵉ";"arabe";"";"zgh15";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵎ";"m";"lettre";"";"";"";"";"zgh1";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵏ";"n";"lettre";"";"";"";"";"zgh1 zgh2";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵓ";"u (ou) / u";"lettre";"";"";"";"";"zgh3 zgh4";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⵓⵀⵓ";"Non";"mot";"";"";"amazigh";"";"zgh8";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⵓⵔⴰⵔ";"Le jeu";"mot";"";"";"amazigh";"";"zgh16 zgh17 zgh19";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵔ";"r";"lettre";"";"";"";"";"zgh3";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵖ";"Le « r » de Paris / ɣ";"lettre";"";"";"";"";"zgh5";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⵙⵉⵏ";"Deux";"mot";"";"";"amazigh";"";"zgh10";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵚ";"ṣ";"lettre";"";"";"";"";"zgh6";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵜ";"t";"lettre";"";"";"";"";"zgh2";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⵜⴰⴽⵓⵔⵜ";"Le ballon";"mot";"";"";"amazigh";"";"zgh16 zgh19";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⵜⴰⵃⴰⵏⵓⵜ";"La boutique";"mot";"arabe";"";"arabe";"";"zgh14 zgh15";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⵜⴰⵎⵖⴰⵔⵜ";"La femme";"mot";"";"";"amazigh";"";"zgh9";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⵜⴰⵏⵎⵎⵉⵔⵜ";"Merci";"mot";"";"";"amazigh";"";"zgh7";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⵜⴰⵡⵓⵔⵉ";"Le travail";"mot";"";"";"amazigh";"";"zgh12 zgh15 zgh19";"";""
"Amazighe standard";"Unité 4";"Au sport — ⴰⴷⴷⴰⵍ";"ⵜⴰⵣⵣⵍⴰ";"La course";"mot";"";"";"amazigh";"";"zgh17 zgh19";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⵜⵉⴳⵎⵎⵉ";"La maison";"mot";"";"";"amazigh";"";"zgh8 zgh9";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵜⵉⴼⵉⵏⴰⵖ";"tifinagh — l’écriture amazighe";"mot";"";"";"amazigh";"";"zgh6";"";""
"Amazighe standard";"Unité 3";"Au travail — ⵜⴰⵡⵓⵔⵉ";"ⵜⵉⵏⵎⵍ";"L’école";"mot";"";"";"neo";"";"zgh12 zgh13";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵟ";"ṭ";"lettre";"";"";"";"";"zgh6";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⵢⴰⵏ";"Un";"mot";"";"";"amazigh";"";"zgh10";"";""
"Amazighe standard";"Unité 2";"La langue de l’école";"ⵢⵢⵉⵀ";"Oui";"mot";"";"";"amazigh";"";"zgh8";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵣ";"z";"lettre";"";"";"";"";"zgh4";"";""
"Amazighe standard";"Unité 1";"Lire le tifinagh — ⵜⵉⴼⵉⵏⴰⵖ";"ⵥ";"ẓ";"lettre";"";"";"";"";"zgh6";"";""
